[08:28:09] [ServerMain/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[08:28:12] [ServerMain/INFO]: Loaded 7 recipes
[08:28:12] [Server thread/INFO]: Starting minecraft server version 1.20.1
[08:28:12] [Server thread/INFO]: Loading properties
[08:28:12] [Server thread/INFO]: This server is running Paper version git-Paper-196 (MC: 1.20.1) (Implementing API version 1.20.1-R0.1-SNAPSHOT) (Git: 773dd72)
[08:28:13] [Server thread/INFO]: Using 4 threads for Netty based IO
[08:28:13] [Server thread/INFO]: Server Ping Player Sample Count: 12
[08:28:14] [Server thread/WARN]: [!] The timings profiler has been enabled but has been scheduled for removal from Paper in the future.
    We recommend installing the spark profiler as a replacement: https://spark.lucko.me/
    For more information please visit: https://github.com/PaperMC/Paper/issues/8948
[08:28:14] [Server thread/INFO]: [ChunkTaskScheduler] Chunk system is using 1 I/O threads, 3 worker threads, and gen parallelism of 3 threads
[08:28:14] [Server thread/INFO]: Default game type: SURVIVAL
[08:28:14] [Server thread/INFO]: Generating keypair
[08:28:14] [Server thread/INFO]: Starting Minecraft server on *:25565
[08:28:14] [Server thread/INFO]: Using default channel type
[08:28:14] [Server thread/INFO]: Paper: Using Java compression from Velocity.
[08:28:14] [Server thread/INFO]: Paper: Using Java cipher from Velocity.
[08:28:14] [Server thread/INFO]: [WorldSettingsPlugin] Loading server plugin WorldSettingsPlugin v1.0.0
[08:28:14] [Server thread/INFO]: Server permissions file permissions.yml is empty, ignoring it
[08:28:14] [Server thread/INFO]: Preparing level "world"
[08:28:15] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[08:28:16] [Server thread/INFO]: Time elapsed: 726 ms
[08:28:16] [Server thread/INFO]: Preparing start region for dimension minecraft:the_nether
[08:28:16] [Server thread/INFO]: Time elapsed: 68 ms
[08:28:16] [Server thread/INFO]: Preparing start region for dimension minecraft:the_end
[08:28:16] [Server thread/INFO]: Time elapsed: 59 ms
[08:28:16] [Server thread/INFO]: [WorldSettingsPlugin] Enabling WorldSettingsPlugin v1.0.0
[08:28:16] [Server thread/INFO]: [WorldSettingsPlugin] ========================================
[08:28:16] [Server thread/INFO]: [WorldSettingsPlugin]  WorldSettingsPlugin v1.0.0 enabled!
[08:28:16] [Server thread/INFO]: [WorldSettingsPlugin]  Use /worldsettings to open the GUI.
[08:28:16] [Server thread/INFO]: [WorldSettingsPlugin] ========================================
[08:28:16] [Server thread/INFO]: Running delayed init tasks
[08:28:16] [Server thread/INFO]: Done (4.148s)! For help, type "help"
[08:28:16] [Server thread/INFO]: Timings Reset
[08:28:20] [User Authenticator #0/INFO]: UUID of player Candeer45 is c71ac785-8541-462b-ac7f-605a04a2db14
[08:28:20] [Server thread/INFO]: Candeer45 joined the game
[08:28:20] [Server thread/INFO]: Candeer45[/127.0.0.1:1768] logged in with entity id 1041 at ([world]-303.7838530029383, 106.14065979900192, 241.40295804767752)
[08:28:24] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 5084ms or 101 ticks behind
[08:28:29] [Server thread/INFO]: Candeer45 issued server command: /time set day
[08:28:29] [Server thread/INFO]: [Candeer45: Set the time to 1000]
[08:28:33] [Server thread/INFO]: Named entity Creeper['Hell Creeper'/2965, uuid='e1c1cb3e-f077-4905-890e-e7a1930c8651', l='ServerLevel[world]', x=-212.35, y=78.00, z=172.78, cpos=[-14, 10], tl=212, v=true] died: Hell Creeper went up in flames
[08:28:36] [Server thread/INFO]: Candeer45 issued server command: /gamemode survival
[08:28:36] [Server thread/INFO]: [Candeer45: Set own game mode to Survival Mode]
[08:28:38] [Server thread/INFO]: Candeer45 fell from a high place
[08:28:40] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/79, uuid='75f0816d-481f-46ee-b242-04c67f7b6afd', l='ServerLevel[world]', x=-122.45, y=59.00, z=-102.51, cpos=[-8, -7], tl=6558, v=true] died: Hell Zombie burned to death
[08:28:44] [Server thread/INFO]: Named entity Creeper['Hell Creeper'/1114, uuid='7358eab5-120e-42c9-9d5a-95e011eb285f', l='ServerLevel[world]', x=-1.80, y=62.00, z=-2.14, cpos=[-1, -1], tl=4265, v=true] died: Hell Creeper was blown up by Hell Creeper
[08:28:44] [Server thread/INFO]: Candeer45 was blown up by Hell Creeper
[08:28:47] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/331, uuid='efb2f3f0-3475-4a83-99be-ec53e2ca51fe', l='ServerLevel[world]', x=-83.60, y=70.00, z=-23.50, cpos=[-6, -2], tl=4706, v=true] died: Hell Zombie burned to death
[08:28:55] [Server thread/INFO]: Candeer45 was slain by Hell Zombie
[08:28:55] [Server thread/INFO]: Named entity Skeleton['Hell Skeleton'/2340, uuid='62eb815f-d3cd-40d2-be9f-c0784c2de15a', l='ServerLevel[world]', x=93.81, y=63.00, z=11.62, cpos=[5, 0], tl=4062, v=true] died: Hell Skeleton burned to death
[08:28:56] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1113, uuid='65a432d6-2c1d-4548-bf40-7745f3ee5cbc', l='ServerLevel[world]', x=-1.31, y=64.00, z=-19.86, cpos=[-1, -2], tl=4010, v=true] died: Hell Zombie burned to death
[08:28:56] [Server thread/INFO]: Named entity Skeleton['Hell Skeleton'/148, uuid='b037d954-a944-43f8-8e61-3f59265c5665', l='ServerLevel[world]', x=-96.51, y=75.25, z=-90.74, cpos=[-7, -6], tl=3740, v=true] died: Hell Skeleton burned to death
[08:28:56] [Server thread/INFO]: Named entity Skeleton['Hell Skeleton'/1694, uuid='e36a134b-f7f5-45f4-a3c1-a5b9d74212cb', l='ServerLevel[world]', x=-76.56, y=99.00, z=50.57, cpos=[-5, 3], tl=4474, v=true] died: Hell Skeleton burned to death
[08:28:57] [Server thread/INFO]: Named entity Skeleton['Hell Skeleton'/718, uuid='1d09ab75-de12-42bd-a7b7-583f23f93530', l='ServerLevel[world]', x=-20.58, y=75.92, z=-101.35, cpos=[-2, -7], tl=4633, v=true] died: Hell Skeleton burned to death
[08:29:00] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/449, uuid='5f786b90-2fb1-4258-a7ff-5f3cabb99b9a', l='ServerLevel[world]', x=-87.87, y=69.77, z=-28.49, cpos=[-6, -2], tl=4522, v=true] died: Hell Zombie burned to death
[08:29:01] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/192, uuid='b54518af-3270-4429-8233-60b2ddad6de2', l='ServerLevel[world]', x=-106.89, y=66.00, z=-37.32, cpos=[-7, -3], tl=5111, v=true] died: Hell Zombie burned to death
[08:29:02] [Server thread/INFO]: Named entity Skeleton['Hell Skeleton'/3570, uuid='b4f296df-1e54-4aa9-b6ac-2e8dd5f4a1f7', l='ServerLevel[world]', x=69.30, y=7.95, z=83.23, cpos=[4, 5], tl=392, v=true] died: Hell Skeleton suffocated in a wall
[08:29:05] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/136, uuid='2280b702-67a5-4370-b377-42dc757dd940', l='ServerLevel[world]', x=-93.25, y=72.00, z=-95.99, cpos=[-6, -6], tl=4821, v=true] died: Hell Zombie burned to death
[08:29:05] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/142, uuid='50655d33-1e62-4b00-bbb7-0d5bc4a7ec68', l='ServerLevel[world]', x=-96.70, y=77.00, z=-95.30, cpos=[-7, -6], tl=6797, v=true] died: Hell Zombie burned to death
[08:29:05] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1120, uuid='50551de2-c218-46b1-bd81-5e480c274199', l='ServerLevel[world]', x=-14.62, y=94.00, z=-121.51, cpos=[-1, -8], tl=4107, v=true] died: Hell Zombie burned to death
[08:29:05] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/584, uuid='fc418059-bf90-4f99-8312-5a61063db834', l='ServerLevel[world]', x=-58.30, y=67.75, z=-24.48, cpos=[-4, -2], tl=2792, v=true] died: Hell Zombie burned to death
[08:29:06] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/625, uuid='1dc9d630-c021-4cf6-9ee7-6cf9c278c7b7', l='ServerLevel[world]', x=-31.79, y=69.00, z=-48.00, cpos=[-2, -4], tl=5013, v=true] died: Hell Zombie burned to death
[08:29:07] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/2419, uuid='5385d097-c350-4b3d-8c01-36f574cab32d', l='ServerLevel[world]', x=71.65, y=78.00, z=113.31, cpos=[4, 7], tl=4442, v=true] died: Hell Zombie burned to death
[08:29:07] [Server thread/INFO]: Named entity Skeleton['Hell Skeleton'/2256, uuid='fddb64d4-2157-4afd-af50-49eaa8cb6156', l='ServerLevel[world]', x=44.61, y=63.00, z=-90.92, cpos=[2, -6], tl=4509, v=true] died: Hell Skeleton burned to death
[08:29:07] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/565, uuid='d75ddc1b-b95d-4730-afdb-5f001238c819', l='ServerLevel[world]', x=-58.70, y=68.00, z=-28.57, cpos=[-4, -2], tl=2621, v=true] died: Hell Zombie burned to death
[08:29:07] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1690, uuid='cdb65fc7-6fcb-418f-8107-f4f3ce6e3dd5', l='ServerLevel[world]', x=-71.72, y=100.00, z=69.07, cpos=[-5, 4], tl=5023, v=true] died: Hell Zombie burned to death
[08:29:08] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/844, uuid='3d80fd84-7358-4be8-8321-b495f4a43e69', l='ServerLevel[world]', x=-5.28, y=63.00, z=-45.49, cpos=[-1, -3], tl=4605, v=true] died: Hell Zombie burned to death
[08:29:08] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/166, uuid='4bf91521-3534-4fd5-97da-e64b5ac2c4ce', l='ServerLevel[world]', x=-110.30, y=68.00, z=-56.69, cpos=[-7, -4], tl=2602, v=true] died: Hell Zombie burned to death
[08:29:08] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1809, uuid='b18ad99b-77d9-447b-8667-c9a2d75ee2b7', l='ServerLevel[world]', x=-48.73, y=103.00, z=67.65, cpos=[-4, 4], tl=2744, v=true] died: Hell Zombie burned to death
[08:29:08] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1670, uuid='0760f9ca-2883-409c-8b64-1a1704b86207', l='ServerLevel[world]', x=-105.62, y=106.00, z=111.63, cpos=[-7, 6], tl=2518, v=true] died: Hell Zombie burned to death
[08:29:08] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1306, uuid='5b076c11-f670-4f2b-b574-a81532444454', l='ServerLevel[world]', x=-121.49, y=76.00, z=20.38, cpos=[-8, 1], tl=2643, v=true] died: Hell Zombie burned to death
[08:29:08] [Server thread/INFO]: Named entity Spider['Hell Spider'/543, uuid='2aa7a129-efca-42cc-bf30-e8f6e06b4f5c', l='ServerLevel[world]', x=-59.53, y=-7.89, z=-37.16, cpos=[-4, -3], tl=7928, v=true] died: Hell Spider tried to swim in lava
[08:29:09] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/345, uuid='4213affd-9b7d-4061-a392-e1b76367a0a1', l='ServerLevel[world]', x=-93.30, y=68.00, z=-11.31, cpos=[-6, -1], tl=4688, v=true] died: Hell Zombie burned to death
[08:29:09] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/2356, uuid='1a662a6f-daff-4d11-a429-ff0fefe23d4e', l='ServerLevel[world]', x=29.70, y=63.00, z=-6.65, cpos=[1, -1], tl=2898, v=true] died: Hell Zombie was blown up by Hell Creeper
[08:29:09] [Server thread/INFO]: Candeer45 was blown up by Hell Creeper
[08:29:09] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/2289, uuid='735aedd9-1b1a-48fa-b834-984e73578fc3', l='ServerLevel[world]', x=28.71, y=63.00, z=-7.08, cpos=[1, -1], tl=4538, v=true] died: Hell Zombie was blown up by Hell Creeper
[08:29:09] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1115, uuid='c0f0d6ce-780c-4545-ad38-d9940cf22197', l='ServerLevel[world]', x=29.42, y=63.00, z=-7.79, cpos=[1, -1], tl=4349, v=true] died: Hell Zombie was blown up by Hell Creeper
[08:29:09] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/2293, uuid='11f260f5-4027-4c3f-adeb-8eb20db77ae5', l='ServerLevel[world]', x=27.37, y=63.00, z=-7.78, cpos=[1, -1], tl=2815, v=true] died: Hell Zombie was blown up by Hell Creeper
[08:29:09] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1365, uuid='faf051b2-ce37-4c1c-a586-8aa3edf1abeb', l='ServerLevel[world]', x=26.07, y=63.00, z=-6.50, cpos=[1, -1], tl=2659, v=true] died: Hell Zombie was blown up by Hell Creeper
[08:29:09] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1149, uuid='f8f95807-2e28-4b9d-8640-51a4ca1f1651', l='ServerLevel[world]', x=22.43, y=63.85, z=-6.50, cpos=[1, -1], tl=4587, v=true] died: Hell Zombie was blown up by Hell Creeper
[08:29:10] [Server thread/INFO]: Named entity Skeleton['Hell Skeleton'/2367, uuid='d97be712-0277-455d-9445-112c88bf4e8a', l='ServerLevel[world]', x=62.37, y=63.00, z=-2.13, cpos=[3, -1], tl=4350, v=true] died: Hell Skeleton burned to death
[08:29:10] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1076, uuid='e9953c96-a5bc-4679-81a0-8d89262f71fc', l='ServerLevel[world]', x=-68.55, y=86.00, z=18.61, cpos=[-5, 1], tl=2774, v=true] died: Hell Zombie burned to death
[08:29:10] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1294, uuid='14b3ce0d-9cf8-4c22-89aa-cc2aa9b13585', l='ServerLevel[world]', x=-122.39, y=77.00, z=21.63, cpos=[-8, 1], tl=2499, v=true] died: Hell Zombie burned to death
[08:29:10] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1096, uuid='455d270c-800d-4f7d-9ba5-f7c327473b16', l='ServerLevel[world]', x=-83.53, y=79.00, z=17.50, cpos=[-6, 1], tl=4834, v=true] died: Hell Zombie burned to death
[08:29:11] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/368, uuid='83c6556e-a2b7-4390-a2eb-ecc39420a558', l='ServerLevel[world]', x=-100.39, y=80.00, z=-118.55, cpos=[-7, -8], tl=4593, v=true] died: Hell Zombie burned to death
[08:29:11] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1685, uuid='a30bfe07-8589-4d59-a435-d4e8aa430544', l='ServerLevel[world]', x=-69.39, y=101.00, z=49.13, cpos=[-5, 3], tl=2637, v=true] died: Hell Zombie burned to death
[08:29:11] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1997, uuid='5d9d1e4a-bba0-4899-a44b-6d6ffb3f087a', l='ServerLevel[world]', x=-45.32, y=100.00, z=53.26, cpos=[-3, 3], tl=7018, v=true] died: Hell Zombie burned to death
[08:29:11] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1625, uuid='bd2e31d3-eb3a-4c38-8eb2-fd6733a03203', l='ServerLevel[world]', x=-80.61, y=99.00, z=53.55, cpos=[-6, 3], tl=2749, v=true] died: Hell Zombie burned to death
[08:29:11] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/824, uuid='a8fc0bc8-5491-4fb5-ae96-fbcd3f00d5a4', l='ServerLevel[world]', x=6.16, y=63.00, z=-61.08, cpos=[0, -4], tl=2958, v=true] died: Hell Zombie burned to death
[08:29:11] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/2414, uuid='3b0b9a8d-8cc4-49b2-bdb7-becf88e1ef66', l='ServerLevel[world]', x=34.44, y=86.00, z=48.58, cpos=[2, 3], tl=2809, v=true] died: Hell Zombie burned to death
[08:29:12] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1713, uuid='8f197475-721c-4fcd-9ce8-cec1e44eca7d', l='ServerLevel[world]', x=-94.70, y=104.75, z=105.43, cpos=[-6, 6], tl=4879, v=true] died: Hell Zombie burned to death
[08:29:12] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/2273, uuid='b7d813ef-6448-4679-98a4-0ba47974984d', l='ServerLevel[world]', x=29.52, y=61.75, z=-10.30, cpos=[1, -1], tl=2910, v=true] died: Hell Zombie burned to death
[08:29:12] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/1342, uuid='6bb2c9c7-5e27-4d10-9984-a88b4d413b31', l='ServerLevel[world]', x=-79.47, y=79.00, z=12.42, cpos=[-5, 0], tl=4887, v=true] died: Hell Zombie burned to death
[08:29:12] [Server thread/INFO]: Named entity Zombie['Hell Zombie'/851, uuid='a2a4ff58-1fb5-4aae-a9b5-df09be151f16', l='ServerLevel[world]', x=8.85, y=62.18, z=-9.00, cpos=[0, -1], tl=4826, v=true] died: Hell Zombie burned to death
